Month,Year,AverageValue
10,1995,582.92
11,1995,595.53
12,1995,614.57
1,1996,614.42
2,1996,649.54
3,1996,647.07
4,1996,647.17
5,1996,661.23
6,1996,668.50
7,1996,644.07
8,1996,662.68
9,1996,674.89
10,1996,701.46
11,1996,735.67
12,1996,743.25
1,1997,766.22
2,1997,798.38
3,1997,792.16
4,1997,763.93
5,1997,833.09
6,1997,876.29
7,1997,925.29
8,1997,927.74
9,1997,937.02
10,1997,951.16
11,1997,938.92
12,1997,962.37
1,1998,963.36
2,1998,1023.74
3,1998,1076.83
4,1998,1112.20
5,1998,1108.42
6,1998,1108.39
7,1998,1156.58
8,1998,1074.62
9,1998,1020.64
10,1998,1032.47
11,1998,1144.43
12,1998,1190.05
1,1999,1248.77
2,1999,1246.58
3,1999,1281.66
4,1999,1334.76
5,1999,1332.07
6,1999,1322.55
7,1999,1380.99
8,1999,1327.49
9,1999,1318.17
10,1999,1300.01
11,1999,1391.00
12,1999,1428.68
1,2000,1425.59
2,2000,1388.87
3,2000,1442.21
4,2000,1461.36
5,2000,1418.48
6,2000,1461.96
7,2000,1473.00
8,2000,1485.46
9,2000,1468.05
10,2000,1390.14
11,2000,1375.04
12,2000,1330.93
1,2001,1335.64
2,2001,1305.75
3,2001,1185.85
4,2001,1189.84
5,2001,1270.37
6,2001,1238.71
7,2001,1204.45
8,2001,1178.50
9,2001,1044.64
10,2001,1076.59
11,2001,1129.68
12,2001,1144.93
1,2002,1140.21
2,2002,1100.67
3,2002,1153.79
4,2002,1112.03
5,2002,1079.27
6,2002,1014.05
7,2002,903.59
8,2002,912.55
9,2002,867.81
10,2002,854.63
11,2002,909.93
12,2002,899.18
1,2003,895.84
2,2003,837.62
3,2003,846.62
4,2003,890.03
5,2003,935.96
6,2003,988.00
7,2003,992.54
8,2003,989.53
9,2003,1019.44
10,2003,1038.73
11,2003,1049.90
12,2003,1080.64
1,2004,1132.52
2,2004,1143.36
3,2004,1123.98
4,2004,1133.08
5,2004,1102.78
6,2004,1132.76
7,2004,1105.85
8,2004,1088.93
9,2004,1117.66
10,2004,1118.07
11,2004,1168.94
12,2004,1199.21
1,2005,1181.41
2,2005,1199.63
3,2005,1194.90
4,2005,1164.43
5,2005,1178.28
6,2005,1202.25
7,2005,1222.24
8,2005,1224.27
9,2005,1225.91
10,2005,1191.96
11,2005,1237.37
12,2005,1262.07
1,2006,1278.72
2,2006,1276.65
3,2006,1293.73
4,2006,1302.17
5,2006,1290.01
6,2006,1253.17
7,2006,1260.23
8,2006,1287.15
9,2006,1317.74
10,2006,1363.38
11,2006,1388.63
12,2006,1416.42
1,2007,1424.16
2,2007,1444.79
3,2007,1406.95
4,2007,1463.64
5,2007,1511.14
6,2007,1514.49
7,2007,1520.70
8,2007,1454.62
